Phrase,Freq,Country,#hashtag
steve bannon,1543,usa,republican
prince harry,1542,uk,royalty
labour leader,1541,uk,labour
sheriff,1539,usa,justice
jim comey,1535,usa,fbi
roger stone,1535,usa,republican
farmer,1535,,economy
hunter bidens,1529,usa,democrat
impeachment charade,1528,usa,impeachment
pounds,1526,uk,economy
executive privilege,1526,usa,trump
shootings,1524,,gun control
gas company,1522,,energy
masses,1519,,protest
kevin mccarthy,1517,usa,republican
gun rights,1516,usa,gun control
washington dc,1514,usa,
commie,1510,,ideology
roger,1502,usa,republican
philadelphia,1499,usa,
bots,1499,,media
noah feldman,1493,usa,author 
gunman,1492,usa,gun control
mike rogers,1490,usa,republican
andrew neil,1481,uk,journalist 
chris matthews,1476,usa,left-media
instagram,1476,usa,media
tories,1463,uk,conservative
swinson,1459,uk,libdems
rush limbaugh,1459,usa,cons-media
oklahoma,1459,usa,
greece,1449,eu,fp-greece
gun rally,1444,usa,gun control
ratcliffe,1444,usa,republican
mike flynn,1444,usa,republican
megan,1444,usa,
globalists,1442,,fp-globalists
dem party,1441,usa,democrat
merkel,1438,germany,germany
kansas,1437,usa,
boeing,1433,usa,
earthquake,1433,,cc
mass immigration,1426,,cc
nationalism,1424,,nationalism
angels,1423,,religion
demonstration,1422,,protest
manhattan,1421,usa,
colorado,1419,usa,
haiti,1419,,fp-haiti
oligarch,1418,,russia
species,1412,,cc
allah,1410,,islam
migration,1408,,immigration
hurricane,1407,,cc
trump supporter,1406,usa,segment
sins,1406,,religion
hawaii,1404,usa,
burisma,1400,usa,fp-ukraine
lincoln,1398,usa,
royals,1397,uk,royalty
teens,1397,,youth
canadians,1395,usa,fp-canada
nsc,1391,usa,intelligence
employment,1389,,economy
rinos,1388,,cc
miami,1384,usa,
troll,1383,,media
impeachment witness,1382,usa,impeachment
sadiq khan,1371,uk,labour
jfk,1370,usa,
tehran nancy,1368,usa,fp-iran
paul krugman,1366,usa,left-media
congressmen,1365,usa,
shell,1363,netherlands,netherlands
impeachment farce,1360,usa,impeachment
martin luther king jr.,1357,usa,race
hussein obama,1344,usa,democrat
billy graham,1343,usa,evangelical
impeachment proceedings,1325,usa,impeachment
scots,1323,uk,
diane abbott,1320,uk,labour
john solomon,1320,usa,cons-media
house impeachment,1315,usa,impeachment
peerage,1308,uk,
conway,1307,usa,trump
brendan oneill,1304,uk,journalist 
tony blair,1299,uk,labour
circuit,1294,usa,justice
glasgow,1293,uk,
honduras,1290,usa,fp-southamerica
circuit court,1288,usa,justice
david kris,1288,usa,justice
chris wray,1287,usa,fbi
rand paul,1286,usa,republican
fisa warrant,1284,usa,fbi
daniel goldman,1275,usa,impeachment
kiev,1274,usa,fp-ukraine
berlin,1273,germany,germany
lindsey,1272,usa,republican
leeds,1270,uk,
birmingham,1270,uk,
gun laws,1268,usa,gun debate
ken starr,1267,usa,justice
michael horowitz,1265,usa,justice
impeachment votes,1264,usa,impeachment
auschwitz,1263,,jews
netanyahu,1259,,fp-israel
nixon,1255,usa,
soros,1254,eu,soros
